2021-01-21 17:24:26,649 DBNet.pytorch INFO: [1/100], [5370/6416], global_step: 5370, speed: 2.8 samples/sec, acc: 0.7324, iou_shrink_map: 0.5361, loss: 2.7332loss_shrink_maps: 0.7105, loss_threshold_maps: 0.1023, loss_binary_maps: 0.9998, , lr:0.000444909, time:3.62
2021-01-21 17:24:30,247 DBNet.pytorch INFO: [1/100], [5380/6416], global_step: 5380, speed: 2.8 samples/sec, acc: 0.7326, iou_shrink_map: 0.5363, loss: 1.0905loss_shrink_maps: 0.3479, loss_threshold_maps: 0.0489, loss_binary_maps: 0.2532, , lr:0.000445116, time:3.60
2021-01-21 17:24:33,853 DBNet.pytorch INFO: [1/100], [5390/6416], global_step: 5390, speed: 2.8 samples/sec, acc: 0.7329, iou_shrink_map: 0.5366, loss: 2.2176loss_shrink_maps: 0.5888, loss_threshold_maps: 0.1035, loss_binary_maps: 0.5934, , lr:0.000445324, time:3.61
2021-01-21 17:24:37,465 DBNet.pytorch INFO: [1/100], [5400/6416], global_step: 5400, speed: 2.8 samples/sec, acc: 0.7330, iou_shrink_map: 0.5367, loss: 2.3091loss_shrink_maps: 0.5506, loss_threshold_maps: 0.1113, loss_binary_maps: 0.6459, , lr:0.000445532, time:3.61
2021-01-21 17:24:41,076 DBNet.pytorch INFO: [1/100], [5410/6416], global_step: 5410, speed: 2.8 samples/sec, acc: 0.7331, iou_shrink_map: 0.5368, loss: 2.5530loss_shrink_maps: 0.6094, loss_threshold_maps: 0.1147, loss_binary_maps: 0.7971, , lr:0.00044574, time:3.61
2021-01-21 17:24:44,676 DBNet.pytorch INFO: [1/100], [5420/6416], global_step: 5420, speed: 2.8 samples/sec, acc: 0.7331, iou_shrink_map: 0.5370, loss: 1.5645loss_shrink_maps: 0.4213, loss_threshold_maps: 0.0832, loss_binary_maps: 0.3112, , lr:0.000445948, time:3.60
2021-01-21 17:24:48,260 DBNet.pytorch INFO: [1/100], [5430/6416], global_step: 5430, speed: 2.8 samples/sec, acc: 0.7334, iou_shrink_map: 0.5371, loss: 1.5147loss_shrink_maps: 0.4857, loss_threshold_maps: 0.0570, loss_binary_maps: 0.4590, , lr:0.000446155, time:3.58
2021-01-21 17:24:51,849 DBNet.pytorch INFO: [1/100], [5440/6416], global_step: 5440, speed: 2.8 samples/sec, acc: 0.7333, iou_shrink_map: 0.5372, loss: 1.3395loss_shrink_maps: 0.4178, loss_threshold_maps: 0.0657, loss_binary_maps: 0.2651, , lr:0.000446363, time:3.59
2021-01-21 17:24:55,435 DBNet.pytorch INFO: [1/100], [5450/6416], global_step: 5450, speed: 2.8 samples/sec, acc: 0.7334, iou_shrink_map: 0.5373, loss: 1.6946loss_shrink_maps: 0.4644, loss_threshold_maps: 0.0801, loss_binary_maps: 0.4289, , lr:0.000446571, time:3.59
2021-01-21 17:24:59,044 DBNet.pytorch INFO: [1/100], [5460/6416], global_step: 5460, speed: 2.8 samples/sec, acc: 0.7333, iou_shrink_map: 0.5374, loss: 2.4622loss_shrink_maps: 0.5875, loss_threshold_maps: 0.1093, loss_binary_maps: 0.7816, , lr:0.000446779, time:3.61
2021-01-21 17:25:02,694 DBNet.pytorch INFO: [1/100], [5470/6416], global_step: 5470, speed: 2.7 samples/sec, acc: 0.7333, iou_shrink_map: 0.5375, loss: 2.2239loss_shrink_maps: 0.6220, loss_threshold_maps: 0.0934, loss_binary_maps: 0.6677, , lr:0.000446987, time:3.65
2021-01-21 17:25:06,332 DBNet.pytorch INFO: [1/100], [5480/6416], global_step: 5480, speed: 2.7 samples/sec, acc: 0.7334, iou_shrink_map: 0.5376, loss: 1.9911loss_shrink_maps: 0.5697, loss_threshold_maps: 0.0897, loss_binary_maps: 0.5240, , lr:0.000447195, time:3.64
2021-01-21 17:25:09,962 DBNet.pytorch INFO: [1/100], [5490/6416], global_step: 5490, speed: 2.8 samples/sec, acc: 0.7336, iou_shrink_map: 0.5378, loss: 1.5088loss_shrink_maps: 0.4246, loss_threshold_maps: 0.0762, loss_binary_maps: 0.3227, , lr:0.000447402, time:3.63
2021-01-21 17:25:13,576 DBNet.pytorch INFO: [1/100], [5500/6416], global_step: 5500, speed: 2.8 samples/sec, acc: 0.7333, iou_shrink_map: 0.5379, loss: 1.1337loss_shrink_maps: 0.3565, loss_threshold_maps: 0.0546, loss_binary_maps: 0.2315, , lr:0.00044761, time:3.61
2021-01-21 17:25:17,205 DBNet.pytorch INFO: [1/100], [5510/6416], global_step: 5510, speed: 2.8 samples/sec, acc: 0.7333, iou_shrink_map: 0.5380, loss: 1.4864loss_shrink_maps: 0.4128, loss_threshold_maps: 0.0787, loss_binary_maps: 0.2862, , lr:0.000447818, time:3.63
2021-01-21 17:25:20,839 DBNet.pytorch INFO: [1/100], [5520/6416], global_step: 5520, speed: 2.8 samples/sec, acc: 0.7333, iou_shrink_map: 0.5381, loss: 1.3665loss_shrink_maps: 0.4218, loss_threshold_maps: 0.0609, loss_binary_maps: 0.3360, , lr:0.000448026, time:3.63
2021-01-21 17:25:24,445 DBNet.pytorch INFO: [1/100], [5530/6416], global_step: 5530, speed: 2.8 samples/sec, acc: 0.7333, iou_shrink_map: 0.5383, loss: 2.6759loss_shrink_maps: 0.6128, loss_threshold_maps: 0.1157, loss_binary_maps: 0.9060, , lr:0.000448234, time:3.61
2021-01-21 17:25:28,098 DBNet.pytorch INFO: [1/100], [5540/6416], global_step: 5540, speed: 2.7 samples/sec, acc: 0.7333, iou_shrink_map: 0.5384, loss: 2.4081loss_shrink_maps: 0.5815, loss_threshold_maps: 0.1132, loss_binary_maps: 0.6941, , lr:0.000448441, time:3.65
2021-01-21 17:25:31,718 DBNet.pytorch INFO: [1/100], [5550/6416], global_step: 5550, speed: 2.8 samples/sec, acc: 0.7333, iou_shrink_map: 0.5385, loss: 0.8115loss_shrink_maps: 0.2863, loss_threshold_maps: 0.0364, loss_binary_maps: 0.1608, , lr:0.000448649, time:3.62
2021-01-21 17:25:35,352 DBNet.pytorch INFO: [1/100], [5560/6416], global_step: 5560, speed: 2.8 samples/sec, acc: 0.7334, iou_shrink_map: 0.5387, loss: 2.4808loss_shrink_maps: 0.5923, loss_threshold_maps: 0.1102, loss_binary_maps: 0.7869, , lr:0.000448857, time:3.63
2021-01-21 17:25:38,964 DBNet.pytorch INFO: [1/100], [5570/6416], global_step: 5570, speed: 2.8 samples/sec, acc: 0.7336, iou_shrink_map: 0.5388, loss: 1.6308loss_shrink_maps: 0.4733, loss_threshold_maps: 0.0773, loss_binary_maps: 0.3849, , lr:0.000449065, time:3.61
2021-01-21 17:25:42,617 DBNet.pytorch INFO: [1/100], [5580/6416], global_step: 5580, speed: 2.7 samples/sec, acc: 0.7335, iou_shrink_map: 0.5389, loss: 2.8714loss_shrink_maps: 0.7754, loss_threshold_maps: 0.1205, loss_binary_maps: 0.8911, , lr:0.000449273, time:3.65
2021-01-21 17:25:46,251 DBNet.pytorch INFO: [1/100], [5590/6416], global_step: 5590, speed: 2.8 samples/sec, acc: 0.7335, iou_shrink_map: 0.5390, loss: 2.0067loss_shrink_maps: 0.5290, loss_threshold_maps: 0.0844, loss_binary_maps: 0.6335, , lr:0.00044948, time:3.63
2021-01-21 17:25:49,849 DBNet.pytorch INFO: [1/100], [5600/6416], global_step: 5600, speed: 2.8 samples/sec, acc: 0.7335, iou_shrink_map: 0.5392, loss: 1.5298loss_shrink_maps: 0.4153, loss_threshold_maps: 0.0775, loss_binary_maps: 0.3395, , lr:0.000449688, time:3.60
2021-01-21 17:25:53,452 DBNet.pytorch INFO: [1/100], [5610/6416], global_step: 5610, speed: 2.8 samples/sec, acc: 0.7337, iou_shrink_map: 0.5393, loss: 0.9819loss_shrink_maps: 0.3334, loss_threshold_maps: 0.0493, loss_binary_maps: 0.1551, , lr:0.000449896, time:3.60
2021-01-21 17:25:57,091 DBNet.pytorch INFO: [1/100], [5620/6416], global_step: 5620, speed: 2.7 samples/sec, acc: 0.7339, iou_shrink_map: 0.5395, loss: 2.0007loss_shrink_maps: 0.4789, loss_threshold_maps: 0.0998, loss_binary_maps: 0.5242, , lr:0.000450104, time:3.64
2021-01-21 17:26:00,692 DBNet.pytorch INFO: [1/100], [5630/6416], global_step: 5630, speed: 2.8 samples/sec, acc: 0.7342, iou_shrink_map: 0.5397, loss: 2.0225loss_shrink_maps: 0.5453, loss_threshold_maps: 0.0926, loss_binary_maps: 0.5516, , lr:0.000450312, time:3.60
2021-01-21 17:26:04,320 DBNet.pytorch INFO: [1/100], [5640/6416], global_step: 5640, speed: 2.8 samples/sec, acc: 0.7342, iou_shrink_map: 0.5399, loss: 2.3574loss_shrink_maps: 0.5820, loss_threshold_maps: 0.1002, loss_binary_maps: 0.7736, , lr:0.00045052, time:3.63
2021-01-21 17:26:07,952 DBNet.pytorch INFO: [1/100], [5650/6416], global_step: 5650, speed: 2.8 samples/sec, acc: 0.7344, iou_shrink_map: 0.5401, loss: 0.9054loss_shrink_maps: 0.3004, loss_threshold_maps: 0.0414, loss_binary_maps: 0.1910, , lr:0.000450727, time:3.63
2021-01-21 17:26:11,576 DBNet.pytorch INFO: [1/100], [5660/6416], global_step: 5660, speed: 2.8 samples/sec, acc: 0.7344, iou_shrink_map: 0.5402, loss: 2.1883loss_shrink_maps: 0.5168, loss_threshold_maps: 0.1077, loss_binary_maps: 0.5946, , lr:0.000450935, time:3.62
2021-01-21 17:26:15,167 DBNet.pytorch INFO: [1/100], [5670/6416], global_step: 5670, speed: 2.8 samples/sec, acc: 0.7344, iou_shrink_map: 0.5403, loss: 3.2093loss_shrink_maps: 1.0514, loss_threshold_maps: 0.1158, loss_binary_maps: 1.0000, , lr:0.000451143, time:3.59
2021-01-21 17:26:18,788 DBNet.pytorch INFO: [1/100], [5680/6416], global_step: 5680, speed: 2.8 samples/sec, acc: 0.7346, iou_shrink_map: 0.5405, loss: 2.4366loss_shrink_maps: 0.5832, loss_threshold_maps: 0.1056, loss_binary_maps: 0.7974, , lr:0.000451351, time:3.62
2021-01-21 17:26:22,411 DBNet.pytorch INFO: [1/100], [5690/6416], global_step: 5690, speed: 2.8 samples/sec, acc: 0.7346, iou_shrink_map: 0.5405, loss: 2.8973loss_shrink_maps: 0.6439, loss_threshold_maps: 0.1467, loss_binary_maps: 0.7859, , lr:0.000451559, time:3.62
2021-01-21 17:26:26,030 DBNet.pytorch INFO: [1/100], [5700/6416], global_step: 5700, speed: 2.8 samples/sec, acc: 0.7344, iou_shrink_map: 0.5407, loss: 1.3865loss_shrink_maps: 0.4186, loss_threshold_maps: 0.0682, loss_binary_maps: 0.2858, , lr:0.000451766, time:3.62
2021-01-21 17:26:29,624 DBNet.pytorch INFO: [1/100], [5710/6416], global_step: 5710, speed: 2.8 samples/sec, acc: 0.7343, iou_shrink_map: 0.5408, loss: 1.4473loss_shrink_maps: 0.3983, loss_threshold_maps: 0.0766, loss_binary_maps: 0.2832, , lr:0.000451974, time:3.59
2021-01-21 17:26:33,273 DBNet.pytorch INFO: [1/100], [5720/6416], global_step: 5720, speed: 2.7 samples/sec, acc: 0.7345, iou_shrink_map: 0.5410, loss: 1.8464loss_shrink_maps: 0.5038, loss_threshold_maps: 0.0829, loss_binary_maps: 0.5131, , lr:0.000452182, time:3.65
2021-01-21 17:26:36,901 DBNet.pytorch INFO: [1/100], [5730/6416], global_step: 5730, speed: 2.8 samples/sec, acc: 0.7346, iou_shrink_map: 0.5411, loss: 2.0909loss_shrink_maps: 0.5013, loss_threshold_maps: 0.1065, loss_binary_maps: 0.5247, , lr:0.00045239, time:3.63
2021-01-21 17:26:40,522 DBNet.pytorch INFO: [1/100], [5740/6416], global_step: 5740, speed: 2.8 samples/sec, acc: 0.7347, iou_shrink_map: 0.5413, loss: 1.2577loss_shrink_maps: 0.3649, loss_threshold_maps: 0.0593, loss_binary_maps: 0.2997, , lr:0.000452598, time:3.62
2021-01-21 17:26:44,144 DBNet.pytorch INFO: [1/100], [5750/6416], global_step: 5750, speed: 2.8 samples/sec, acc: 0.7349, iou_shrink_map: 0.5414, loss: 0.8626loss_shrink_maps: 0.2739, loss_threshold_maps: 0.0423, loss_binary_maps: 0.1655, , lr:0.000452805, time:3.62
2021-01-21 17:26:47,735 DBNet.pytorch INFO: [1/100], [5760/6416], global_step: 5760, speed: 2.8 samples/sec, acc: 0.7349, iou_shrink_map: 0.5416, loss: 0.8041loss_shrink_maps: 0.2688, loss_threshold_maps: 0.0380, loss_binary_maps: 0.1558, , lr:0.000453013, time:3.59
2021-01-21 17:26:51,320 DBNet.pytorch INFO: [1/100], [5770/6416], global_step: 5770, speed: 2.8 samples/sec, acc: 0.7351, iou_shrink_map: 0.5417, loss: 1.7115loss_shrink_maps: 0.4497, loss_threshold_maps: 0.0825, loss_binary_maps: 0.4366, , lr:0.000453221, time:3.58
2021-01-21 17:26:54,924 DBNet.pytorch INFO: [1/100], [5780/6416], global_step: 5780, speed: 2.8 samples/sec, acc: 0.7351, iou_shrink_map: 0.5418, loss: 2.6670loss_shrink_maps: 0.6161, loss_threshold_maps: 0.1230, loss_binary_maps: 0.8204, , lr:0.000453429, time:3.60
2021-01-21 17:26:58,533 DBNet.pytorch INFO: [1/100], [5790/6416], global_step: 5790, speed: 2.8 samples/sec, acc: 0.7352, iou_shrink_map: 0.5420, loss: 1.3871loss_shrink_maps: 0.3915, loss_threshold_maps: 0.0719, loss_binary_maps: 0.2763, , lr:0.000453637, time:3.61
2021-01-21 17:27:02,127 DBNet.pytorch INFO: [1/100], [5800/6416], global_step: 5800, speed: 2.8 samples/sec, acc: 0.7353, iou_shrink_map: 0.5421, loss: 1.5328loss_shrink_maps: 0.4123, loss_threshold_maps: 0.0811, loss_binary_maps: 0.3091, , lr:0.000453845, time:3.59
2021-01-21 17:27:05,715 DBNet.pytorch INFO: [1/100], [5810/6416], global_step: 5810, speed: 2.8 samples/sec, acc: 0.7354, iou_shrink_map: 0.5422, loss: 2.2816loss_shrink_maps: 0.6100, loss_threshold_maps: 0.1029, loss_binary_maps: 0.6427, , lr:0.000454052, time:3.59
2021-01-21 17:27:09,310 DBNet.pytorch INFO: [1/100], [5820/6416], global_step: 5820, speed: 2.8 samples/sec, acc: 0.7353, iou_shrink_map: 0.5423, loss: 2.1538loss_shrink_maps: 0.5032, loss_threshold_maps: 0.1173, loss_binary_maps: 0.4779, , lr:0.00045426, time:3.59
2021-01-21 17:27:12,896 DBNet.pytorch INFO: [1/100], [5830/6416], global_step: 5830, speed: 2.8 samples/sec, acc: 0.7353, iou_shrink_map: 0.5424, loss: 2.4907loss_shrink_maps: 0.5888, loss_threshold_maps: 0.1073, loss_binary_maps: 0.8292, , lr:0.000454468, time:3.59
2021-01-21 17:27:16,513 DBNet.pytorch INFO: [1/100], [5840/6416], global_step: 5840, speed: 2.8 samples/sec, acc: 0.7354, iou_shrink_map: 0.5425, loss: 1.3338loss_shrink_maps: 0.3918, loss_threshold_maps: 0.0685, loss_binary_maps: 0.2567, , lr:0.000454676, time:3.62
2021-01-21 17:27:20,149 DBNet.pytorch INFO: [1/100], [5850/6416], global_step: 5850, speed: 2.8 samples/sec, acc: 0.7355, iou_shrink_map: 0.5426, loss: 1.1122loss_shrink_maps: 0.3200, loss_threshold_maps: 0.0659, loss_binary_maps: 0.1329, , lr:0.000454884, time:3.64
